course_code	slug	target_lang	pricing_tier	voice	origin	clips	d_min	d_max	vpass	vfail	vnull	dangling
est_for_eng	pod-0-unrecorded	est	free	azure_et-EE-KertNeural	tts	6	2026-06-08	2026-06-10	0	0	6	0
est_for_eng	pod-0-unrecorded	est	free	azure_et-EE-AnuNeural	tts	6	2026-06-10	2026-06-11	0	0	6	0
eus_for_eng	pod-0	eus	free	eu-ES-AinhoaNeural	tts	65	2026-04-21	2026-06-19	0	0	65	0
eus_for_eng	pod-0	eus	free	eu-ES-AnderNeural	tts	64	2026-05-06	2026-06-19	0	0	64	0
eus_for_eng	pod-0	eus	free	azure_eu-ES-AnderNeural	tts	6	2026-06-10	2026-06-19	0	0	6	0
eus_for_eng	pod-0	eus	free	azure_eu-ES-AinhoaNeural	tts	7	2026-06-10	2026-06-19	0	0	7	0
eus_for_eng	pod-0-unrecorded	eus	free	eu-ES-AinhoaNeural	tts	57	2026-04-21	2026-06-19	0	0	57	0
eus_for_eng	pod-0-unrecorded	eus	free	azure_eu-ES-AnderNeural	tts	5	2026-06-10	2026-06-19	0	0	5	0
eus_for_eng	pod-0-unrecorded	eus	free	eu-ES-AnderNeural	tts	52	2026-06-10	2026-06-19	0	0	52	0
eus_for_eng	pod-0-unrecorded	eus	free	azure_eu-ES-AinhoaNeural	tts	6	2026-06-10	2026-06-19	0	0	6	0
eus_for_spa	pod-0	eus	free	eu-ES-AinhoaNeural	tts	62	2026-03-15	2026-06-19	0	0	62	0
eus_for_spa	pod-0	eus	free	eu-ES-AnderNeural	tts	63	2026-06-10	2026-06-19	0	0	63	0
eus_for_spa	pod-0	eus	free	azure_eu-ES-AnderNeural	tts	7	2026-06-10	2026-06-11	0	0	7	0
eus_for_spa	pod-0	eus	free	azure_eu-ES-AinhoaNeural	tts	10	2026-06-10	2026-06-19	0	0	10	0
fas_for_eng	pod-0	fas	free	fa-IR-FaridNeural	tts	57	2026-06-08	2026-06-19	0	0	57	0
fas_for_eng	pod-0	fas	free	azure_fa-IR-FaridNeural	tts	13	2026-06-08	2026-06-19	0	0	13	0
fas_for_eng	pod-0	fas	free	fa-IR-DilaraNeural	tts	63	2026-06-10	2026-06-19	0	0	63	0
fas_for_eng	pod-0	fas	free	azure_fa-IR-DilaraNeural	tts	9	2026-06-10	2026-06-19	0	0	9	0
fas_for_eng	pod-0-unrecorded	fas	free	azure_fa-IR-FaridNeural	tts	11	2026-06-08	2026-06-19	0	0	11	0
fas_for_eng	pod-0-unrecorded	fas	free	fa-IR-FaridNeural	tts	46	2026-06-08	2026-06-19	0	0	46	0
fas_for_eng	pod-0-unrecorded	fas	free	azure_fa-IR-DilaraNeural	tts	6	2026-06-10	2026-06-19	0	0	6	0
fas_for_eng	pod-0-unrecorded	fas	free	fa-IR-DilaraNeural	tts	46	2026-06-10	2026-06-19	0	0	46	0
fra_ca_for_eng	pod-0	fra	premium	fr-CA-JeanNeural	tts	34	2026-05-05	2026-06-10	0	0	34	0
fra_ca_for_eng	pod-0	fra	premium	azure_fr-CA-JeanNeural	tts	8	2026-06-08	2026-06-10	0	0	8	0
fra_ca_for_eng	pod-0	fra	premium	azure_fr-CA-ThierryNeural	tts	2	2026-06-08	2026-06-10	0	0	2	0
fra_ca_for_eng	pod-0	fra	premium	fr-CA-ThierryNeural	tts	13	2026-06-10	2026-06-10	0	0	13	0
fra_ca_for_eng	pod-0	fra	premium	fr-CA-AntoineNeural	tts	40	2026-06-10	2026-06-19	0	0	40	0
fra_ca_for_eng	pod-0	fra	premium	fr-CA-SylvieNeural	tts	18	2026-06-10	2026-07-16	0	0	18	0
fra_ca_for_eng	pod-0	fra	premium	azure_fr-CA-SylvieNeural	tts	2	2026-06-10	2026-07-16	0	0	2	0
fra_ca_for_eng	pod-0	fra	premium	azure_fr-CA-AntoineNeural	tts	2	2026-06-10	2026-06-10	0	0	2	0
fra_for_eng	pod-0	fra	premium	ara	tts	43	2026-06-07	2026-06-10	0	0	43	0
fra_for_eng	pod-0	fra	premium	hbxkrnwm	tts	8	2026-06-07	2026-06-10	0	0	8	0
fra_for_eng	pod-0	fra	premium	0p0rt7o1	tts	56	2026-06-07	2026-06-10	0	0	56	0
fra_for_eng	pod-0	fra	premium	xai_ara	tts	4	2026-06-10	2026-06-10	0	0	4	0
fra_for_eng	pod-0	fra	premium	eve	tts	14	2026-06-10	2026-06-10	0	0	14	0
fra_for_eng	pod-0	fra	premium	69smp8rm	tts	17	2026-06-10	2026-06-19	0	0	17	0
fra_for_eng	pod-0-unrecorded	fra	premium	0p0rt7o1	tts	49	2026-06-07	2026-06-10	0	0	49	0
fra_for_eng	pod-0-unrecorded	fra	premium	ara	tts	35	2026-06-07	2026-06-10	0	0	35	0
