language	role	voice_id	display_name	clip_count	chars_per_sec	ratio_to_median
hrv	target1	azure_hr-HR-GabrijelaNeural		3908	9.704	0.968
hrv	target2	hr-HR-SreckoNeural	Srecko	1446	10.989	1.015
hrv	target2	azure_hr-HR-SreckoNeural		3628	10.654	0.985
hun	target1	azure_hu-HU-NoemiNeural		3446	8.846	1.000
hun	target2	azure_hu-HU-TamasNeural		3447	10.241	1.000
hye	target1	hy-AM-HaykNeural	Hayk	255	9.517	1.088
hye	target1	hy-AM-AnahitNeural	Anahit	2190	8.743	1.000
hye	target1	azure_hy-AM-AnahitNeural		2537	8.487	0.971
hye	target2	hy-AM-HaykNeural	Hayk	1881	8.526	1.008
hye	target2	azure_hy-AM-HaykNeural		2410	8.386	0.992
is	pod_explainer	comp:leo		260	15.652	1.000
isl	target1	azure_is-IS-GudrunNeural		3996	11.682	1.049
isl	target1	is-IS-GudrunNeural	Gudrun	421	11.137	1.000
isl	target1	is-IS-GunnarNeural	Gunnar	254	10.804	0.970
isl	target2	is-IS-GunnarNeural	Gunnar	187	12.581	1.020
isl	target2	azure_is-IS-GunnarNeural		3818	12.087	0.980
it	known	it-IT-ElsaNeural	Elsa	149	12.353	1.000
it	pod_explainer	comp:leo		620	14.853	1.342
it	pod_explainer	gfzdpspr5fdp	Tom	432	11.065	1.000
it	pod_explainer	leo	Leo	363	10.406	0.940
it	pod_take_g	eve	Eve	197	15.278	1.053
it	pod_take_g	x7avnu1k	Enzo	213	13.754	0.947
ita	known	azure_it-IT-ElsaNeural	Elsa (Italian Female)	4627	13.725	1.013
ita	known	it-IT-ElsaNeural	Elsa	431	13.368	0.987
ita	presentation	azure_it-IT-ElsaNeural	Elsa (Italian Female)	597	12.971	1.000
ita	target1	eve	Eve	221	14.932	1.129
ita	target1	xai_ara		886	14.888	1.125
ita	target1	x7avnu1k	Enzo	257	13.533	1.023
ita	target1	azure_it-IT-ElsaNeural	Elsa (Italian Female)	15043	12.927	0.977
ita	target1	bcs7l2c3	Matteo	105	12.780	0.966
ita	target1	it-IT-ElsaNeural	Elsa	4205	12.237	0.925
ita	target2	xai_leo		679	15.070	1.431
ita	target2	azure_it-IT-LisandroNeural		4423	11.021	1.047
ita	target2	azure_it-IT-BenignoNeural		10905	10.038	0.953
ita	target2	it-IT-BenignoNeural	Benigno	4172	9.801	0.931
ja	known	ja-JP-MayuNeural	Mayu	143	4.647	1.000
ja	pod_explainer	comp:leo		258	11.956	1.110
ja	pod_explainer	gfzdpspr5fdp	Tom	221	9.595	0.890
ja-JP	pod_take_g	ara	Ara	117	9.022	1.055
ja-JP	pod_take_g	b1a7441b97a1	Ren	142	8.077	0.945
jpn	encouragement	elevenlabs_J9CDvsEpM6qIpKmOZ5xi		312	5.040	1.000
jpn	instruction	elevenlabs_J9CDvsEpM6qIpKmOZ5xi		313	4.797	1.000
jpn	known	ara	Ara	388	6.408	1.151
jpn	known	b1a7441b97a1	Ren	504	5.904	1.060
jpn	known	eve	Eve	168	5.803	1.042
jpn	known	d0cb9ff07d95	Sakura	191	5.568	1.000
jpn	known	azure_ja-JP-MayuNeural		8319	4.837	0.869
jpn	known	ja-JP-ShioriNeural	Shiori	379	4.537	0.815
jpn	known	azure_ja-JP-ShioriNeural		9595	4.390	0.788
jpn	presentation	azure_ja-JP-ShioriNeural		4898	5.922	1.082
jpn	presentation	azure_ja-JP-MayuNeural		333	5.028	0.918
jpn	target1	azure_ja-JP-NaokiNeural		125	5.656	1.163
jpn	target1	azure_ja-JP-MayuNeural		1844	4.072	0.837
jpn	target2	azure_ja-JP-NaokiNeural		1700	4.116	1.000
kan	known	azure_kn-IN-SapnaNeural		11945	9.500	1.000
kan	presentation	azure_kn-IN-SapnaNeural		2577	13.717	1.000
ko	known	ko-KR-SunHiNeural	Sun-Hi	132	4.814	1.000
ko	pod_explainer	comp:leo		211	12.251	1.115
ko	pod_explainer	gfzdpspr5fdp	Tom	210	9.726	0.885
ko-KR	pod_take_g	23be42535a45	Ji-yeon	136	8.038	1.007
ko-KR	pod_take_g	bf9fe5b5f981	Jun-seo	117	7.930	0.993
kor	known	azure_ko-KR-SunHiNeural		5469	5.112	1.000
kor	presentation	azure_ko-KR-SunHiNeural		1269	5.041	1.000
kor	target1	xai_ara		8190	7.436	1.238
kor	target1	azure_ko-KR-YuJinNeural		4774	4.575	0.762
kor	target2	xai_leo		8189	7.477	1.269
kor	target2	azure_ko-KR-GookMinNeural		4675	4.306	0.731
lav	target1	azure_lv-LV-EveritaNeural		4267	9.941	1.013
lav	target1	lv-LV-NilsNeural	Nils	249	9.810	1.000
lav	target1	lv-LV-EveritaNeural	Everita	294	9.446	0.963
lav	target2	azure_lv-LV-NilsNeural		4132	10.481	1.000
lit	target1	azure_lt-LT-OnaNeural		4792	9.082	1.041
lit	target1	lt-LT-OnaNeural	Ona	306	8.722	1.000
lit	target1	lt-LT-LeonasNeural	Leonas	261	8.680	0.995
lit	target2	azure_lt-LT-LeonasNeural		4661	9.368	1.000
lt	pod_explainer	comp:leo		325	14.697	1.000
lv	pod_explainer	comp:leo		329	15.642	1.000
mar	known	azure_mr-IN-ManoharNeural		10031	8.910	1.000
mar	presentation	azure_mr-IN-ManoharNeural		2306	11.793	1.000
nep	target1	azure_ne-NP-HemkalaNeural		5644	9.883	1.086
nep	target1	ne-NP-SagarNeural	Sagar	226	9.097	1.000
nep	target1	ne-NP-HemkalaNeural	Hemkala	295	9.020	0.992
nep	target2	azure_ne-NP-SagarNeural		5542	10.115	1.000
nl	pod_explainer	comp:leo		299	15.455	1.000
nl-NL	pod_take_g	a13662ba951c	Thijs	133	15.762	1.019
nl-NL	pod_take_g	xai_58d27475085e		178	15.175	0.981
nld	target1	xai_58d27475085e		246	15.398	1.058
nld	target1	a13662ba951c	Thijs	114	14.560	1.000
nld	target1	azure_nl-NL-FennaNeural		3546	8.400	0.577
nld	target2	azure_nl-NL-MaartenNeural		3533	8.354	1.000
no	pod_explainer	comp:leo		294	15.458	1.000
nor	target1	nb-NO-FinnNeural	Finn	127	10.798	1.018
nor	target1	nb-NO-IselinNeural	Iselin	230	10.604	1.000
nor	target1	azure_nb-NO-IselinNeural		3623	10.495	0.990
nor	target2	azure_nb-NO-FinnNeural		3505	10.492	1.000
pa	known	pa-IN-VaaniNeural		143	9.075	1.000
pan	known	azure_pa-IN-VaaniNeural		10166	9.191	1.000
pan	pod_explainer	pa-IN-VaaniNeural		300	7.118	1.000
pan	presentation	azure_pa-IN-VaaniNeural		2677	9.932	1.000
pl	pod_explainer	comp:leo		318	14.266	1.000
pl-PL	pod_take_g	1b12d5daee6b	Aleksandra	140	13.758	1.008
pl-PL	pod_take_g	37329fd8895a	Mateusz	142	13.533	0.992
pol	target1	xai_1b12d5daee6b		111	13.648	1.152
pol	target1	1b12d5daee6b	Aleksandra	120	11.985	1.012
pol	target1	37329fd8895a	Mateusz	127	11.702	0.988
pol	target1	azure_pl-PL-ZofiaNeural		4993	9.949	0.840
pol	target2	azure_pl-PL-MarekNeural		4991	9.918	1.000
por	known	azure_pt-PT-RaquelNeural		4906	10.532	1.012
por	known	pt-PT-RaquelNeural	Raquel	289	10.284	0.988
por	presentation	azure_pt-PT-RaquelNeural		614	13.223	1.000
por	target1	rex	Rex	105	15.461	1.247
por	target1	eve	Eve	152	15.339	1.237
por	target1	ara	Ara	187	14.343	1.157
por	target1	xai_eve		157	13.746	1.108
por	target1	xai_ara		162	13.738	1.108
por	target1	abfbdf26f115	Mateus	139	12.401	1.000
por	target1	azure_pt-BR-JulioNeural		155	10.352	0.835
por	target1	pt-BR-BrendaNeural	Brenda	226	9.296	0.750
por	target1	azure_pt-BR-BrendaNeural		11018	8.795	0.709
por	target1	pt-PT-RaquelNeural	Raquel	253	8.684	0.700
por	target1	azure_pt-PT-RaquelNeural		10742	8.613	0.695
por	target2	azure_pt-PT-DuarteNeural		11446	10.445	1.087
por	target2	pt-PT-DuarteNeural	Duarte	191	10.315	1.074
por	target2	pt-BR-JulioNeural	Julio	234	8.898	0.926
por	target2	azure_pt-BR-JulioNeural		10993	8.486	0.883
pt	known	pt-PT-RaquelNeural	Raquel	138	10.227	1.000
pt	pod_explainer	comp:leo		561	14.906	1.000
pt-BR	pod_explainer	gfzdpspr5fdp	Tom	207	11.738	1.000
pt-BR	pod_take_g	ara	Ara	126	15.785	1.117
pt-BR	pod_take_g	abfbdf26f115	Mateus	153	12.480	0.883
pt-PT	pod_explainer	gfzdpspr5fdp	Tom	211	11.458	1.000
pt-PT	pod_take_g	eve	Eve	132	16.225	1.005
pt-PT	pod_take_g	rex	Rex	124	16.063	0.995
ro	pod_explainer	comp:leo		226	13.224	1.000
ron	target1	azure_ro-RO-AlinaNeural		4473	11.093	1.143
ron	target1	ro-RO-AlinaNeural	Alina	314	9.701	1.000
ron	target1	ro-RO-EmilNeural	Emil	196	9.667	0.996
ron	target2	azure_ro-RO-EmilNeural		4349	11.396	1.000
rus	target1	azure_ru-RU-SvetlanaNeural		4590	9.415	1.000
rus	target2	azure_ru-RU-DmitryNeural		4589	9.344	1.000
si	known	si-LK-SameeraNeural	Sameera	134	11.145	1.000
sin	known	azure_si-LK-SameeraNeural		11263	10.626	1.000
sin	pod_explainer	si-LK-SameeraNeural	Sameera	318	9.850	1.000
sin	presentation	azure_si-LK-SameeraNeural		2355	10.111	1.000
spa	known	eve	Eve	213	16.109	1.485
spa	known	yis75yfp	Manuel	253	13.447	1.240
spa	known	ekhwx401	Javier	108	12.892	1.188
spa	known	azure_es-ES-ElviraNeural		9386	10.847	1.000
spa	known	azure_es-AR-ElenaNeural		4595	10.625	0.980
spa	known	es-ES-ElviraNeural	Elvira	360	10.465	0.965
spa	known	es-AR-ElenaNeural	Elena	105	9.531	0.879
spa	presentation	azure_es-ES-ElviraNeural		1253	14.449	1.211
spa	presentation	azure_es-AR-ElenaNeural		602	11.949	1.002
spa	presentation	es-ES-AlvaroNeural	Alvaro	966	11.909	0.998
spa	presentation	azure_es-ES-AlvaroNeural	Álvaro (Spanish Male)	199	11.784	0.988
spa	target1	eve	Eve	292	16.082	1.234
spa	target1	rex	Rex	117	15.211	1.167
spa	target1	ara	Ara	146	13.792	1.058
spa	target1	yis75yfp	Manuel	255	13.645	1.047
spa	target1	d2313a0d	Pablo	407	13.467	1.034
spa	target1	f2f41225	Maria	392	13.327	1.023
spa	target1	xai_yis75yfp		415	13.243	1.016
spa	target1	ekhwx401	Javier	104	12.816	0.984
spa	target1	es-ES-ElviraNeural	Elvira	7411	11.818	0.907
spa	target1	azure_es-ES-ElviraNeural		11760	10.058	0.772
spa	target1	azure_es-MX-LucianoNeural		182	9.999	0.767
spa	target1	es-MX-CarlotaNeural	Carlota	324	9.308	0.714
spa	target1	azure_es-ES-LaiaNeural		6483	8.714	0.669
spa	target1	azure_es-MX-CarlotaNeural		10028	8.414	0.646
spa	target2	es-ES-AlvaroNeural	Alvaro	1003	11.378	1.129
spa	target2	azure_es-ES-AlvaroNeural	Álvaro (Spanish Male)	24140	10.081	1.000
